Mapper  Games   Percent Percentile
----------------------------------
1       712     25,99   25,99
4       651     23,77   49,76
2       274     10,00   59,77
0       236     8,62    68,38
3       207     7,56    75,94
7       61      2,23    78,17
11      48      1,75    79,92
19      36      1,31    81,23
16      28      1,02    82,26
79      28      1,02    83,28
5       25      0,91    84,19
66      25      0,91    85,10
18      17      0,62    85,72
33      16      0,58    86,31
71      16      0,58    86,89
69      15      0,55    87,44
23      14      0,51    87,95
141     14      0,51    88,46
243     13      0,47    88,94
113     12      0,44    89,38
65      11      0,40    89,78
87      11      0,40    90,18
64      10      0,37    90,54
146     10      0,37    90,91
80      9       0,33    91,24
185     9       0,33    91,57
67      8       0,29    91,86
70      8       0,29    92,15
32      7       0,26    92,41
68      7       0,26    92,66
112     7       0,26    92,92
9       6       0,22    93,14
25      6       0,22    93,36
75      6       0,22    93,57
232     6       0,22    93,79
10      5       0,18    93,98
86      5       0,18    94,16
118     5       0,18    94,34
150     5       0,18    94,52
168     5       0,18    94,71
177     5       0,18    94,89
184     5       0,18    95,07
82      4       0,15    95,22
88      4       0,15    95,36
139     4       0,15    95,51
228     4       0,15    95,66
255     4       0,15    95,80
34      3       0,11    95,91
72      3       0,11    96,02
93      3       0,11    96,13
119     3       0,11    96,24
132     3       0,11    96,35
148     3       0,11    96,46
156     3       0,11    96,57
178     3       0,11    96,68
180     3       0,11    96,79
188     3       0,11    96,90
193     3       0,11    97,01
234     3       0,11    97,12
244     3       0,11    97,23
17      2       0,07    97,30
21      2       0,07    97,37
22      2       0,07    97,44
26      2       0,07    97,52
78      2       0,07    97,59
85      2       0,07    97,66
92      2       0,07    97,74
96      2       0,07    97,81
116     2       0,07    97,88
128     2       0,07    97,96
133     2       0,07    98,03
140     2       0,07    98,10
143     2       0,07    98,17
147     2       0,07    98,25
159     2       0,07    98,32
189     2       0,07    98,39
241     2       0,07    98,47
8       1       0,04    98,50
13      1       0,04    98,54
14      1       0,04    98,58
20      1       0,04    98,61
24      1       0,04    98,65
36      1       0,04    98,69
37      1       0,04    98,72
38      1       0,04    98,76
41      1       0,04    98,80
46      1       0,04    98,83
47      1       0,04    98,87
52      1       0,04    98,90
73      1       0,04    98,94
74      1       0,04    98,98
76      1       0,04    99,01
77      1       0,04    99,05
89      1       0,04    99,09
94      1       0,04    99,12
95      1       0,04    99,16
97      1       0,04    99,20
105     1       0,04    99,23
115     1       0,04    99,27
136     1       0,04    99,31
137     1       0,04    99,34
138     1       0,04    99,38
142     1       0,04    99,42
145     1       0,04    99,45
149     1       0,04    99,49
152     1       0,04    99,53
153     1       0,04    99,56
172     1       0,04    99,60
173     1       0,04    99,63
176     1       0,04    99,67
186     1       0,04    99,71
191     1       0,04    99,74
206     1       0,04    99,78
216     1       0,04    99,82
219     1       0,04    99,85
240     1       0,04    99,89
242     1       0,04    99,93
245     1       0,04    99,96
246     1       0,04    100,00
------------------------------
        2739    100,00  
